100-51-6|Benzyl alcohol |bird - wild|LD50|oral|100mg/kg (100mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 21, Pg. 315, 1972.
1336-21-6|Ammonium hydroxide|frog|LDLo|parenteral|2500mg/kg (2500mg/kg)| |"Structure et Activite Pharmacodyanmique des Medicaments du Systeme Nerveux Vegetatif," Bovet, D., and F. Bovet-Nitti, New York, S. Karger, 1948Vol. -, Pg. 688, 1948.
1336-21-6|Ammonium hydroxide|human|LCLo|inhalation|5000ppm (5000ppm)| |"Toxicology of Drugs and Chemicals," Deichmann, W.B., New York, Academic Press, Inc., 1969Vol. -, Pg. 95, 1969.
1336-21-6|Ammonium hydroxide|human|LDLo|oral|43mg/kg (43mg/kg)| |"Toxicology of Drugs and Chemicals," Deichmann, W.B., New York, Academic Press, Inc., 1969Vol. -, Pg. 95, 1969.
1336-21-6|Ammonium hydroxide|human|TCLo|inhalation|408ppm (408ppm)|LUNGS, THORAX, OR RESPIRATION: "FIBROSIS, FOCAL (PNEUMOCONIOSIS)"LUNGS, THORAX, OR RESPIRATION: ACUTE PULMONARY EDEMA|Journal of the Iowa State Medical Society.  Vol. 61, Pg. 271, 1971.
1336-21-6|Ammonium hydroxide|mouse|LD50|intravenous|91mg/kg (91mg/kg)|BEHAVIORAL: COMALUNGS, THORAX, OR RESPIRATION: RESPIRATORY STIMULATIONBEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|Journal of Clinical Investigation.  Vol. 37, Pg. 497, 1958.
1336-21-6|Ammonium hydroxide|mouse|LDLo|subcutaneous|160mg/kg (160mg/kg)| |"Structure et Activite Pharmacodyanmique des Medicaments du Systeme Nerveux Vegetatif," Bovet, D., and F. Bovet-Nitti, New York, S. Karger, 1948Vol. -, Pg. 688, 1948.
1336-21-6|Ammonium hydroxide|rabbit|LDLo|intravenous|10mg/kg (10mg/kg)| |"Abdernalden's Handbuch der Biologischen Arbeitsmethoden."  Vol. 4, Pg. 1289, 1935.
1336-21-6|Ammonium hydroxide|rabbit|LDLo|subcutaneous|200mg/kg (200mg/kg)| |"Structure et Activite Pharmacodyanmique des Medicaments du Systeme Nerveux Vegetatif," Bovet, D., and F. Bovet-Nitti, New York, S. Karger, 1948Vol. -, Pg. 688, 1948.
1336-21-6|Ammonium hydroxide|rat|LD50|oral|350mg/kg (350mg/kg)|GASTROINTESTINAL: OTHER CHANGESLIVER: OTHER CHANGESKIDNEY, URETER, AND BLADDER: OTHER CHANGES |Journal of Industrial Hygiene and Toxicology.  Vol. 23, Pg. 259, 1941.
1344-09-8|Sodium silicate|rabbit|LD50|skin|> 4640mg/kg (4640mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)LUNGS, THORAX, OR RESPIRATION: DYSPNEA|National Technical Information Service.  Vol. OTS0571941, 
1344-09-8|Sodium silicate|rat|LD50|oral|1960mg/kg (1960mg/kg)| |National Technical Information Service.  Vol. OTS0571941, 
13463-67-7|Titanium dioxide |rat|LD|intratracheal|> 100ug/kg (0.1mg/kg)|LUNGS, THORAX, OR RESPIRATION: STRUCTURAL OR FUNCTIONAL CHANGE IN TRACHEA OR BRONCHIBLOOD: "CHANGES IN SERUM COMPOSITION (E.G., TP, BILIRUBIN, CHOLESTEROL)"|Industrial Health.  Vol. 35, Pg. 61, 1997.
1401-55-4|Tannic acid |domestic animals - goat/sheep|LDLo|intraperitoneal|1gm/kg (1000mg/kg)|LIVER: "JAUNDICE, OTHER OR UNCLASSIFIED"BEHAVIORAL: FOOD INTAKE (ANIMAL)BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Research in Veterinary Science.  Vol. 53, Pg. 280, 1992.
1401-55-4|Tannic acid |domestic animals - goat/sheep|LDLo|oral|1gm/kg (1000mg/kg)|KIDNEY, URETER, AND BLADDER: "CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS)"LIVER: "HEPATITIS (HEPATOCELLULAR NECROSIS), ZONAL"GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH|Veterinary and Human Toxicology.  Vol. 37, Pg. 50, 1995.
1401-55-4|Tannic acid |guinea pig|LDLo|intravenous|40mg/kg (40mg/kg)| |"Toxicology of Drugs and Chemicals," Deichmann, W.B., New York, Academic Press, Inc., 1969Vol. -, Pg. 571, 1969.
1401-55-4|Tannic acid |mouse|LD50|intramuscular|120mg/kg (120mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intramuscular|350mg/kg (350mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intramuscular|> 1600mg/kg (1600mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intramuscular|> 1600mg/kg (1600mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intraperitoneal|120mg/kg (120mg/kg)| |Planta Medica.  Vol. 52, Pg. 272, 1986.
1401-55-4|Tannic acid |mouse|LD50|intraperitoneal|150mg/kg (150mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intraperitoneal|320mg/kg (320mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intraperitoneal|360mg/kg (360mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intravenous|50mg/kg (50mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intravenous|130mg/kg (130mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|intravenous|130mg/kg (130mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|subcutaneous|140mg/kg (140mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|subcutaneous|> 1600mg/kg (1600mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LD50|subcutaneous|> 1600mg/kg (1600mg/kg)| |Journal of Pharmacy and Pharmacology.  Vol. 9, Pg. 98, 1957.
1401-55-4|Tannic acid |mouse|LDLo|intravenous|10mg/kg (10mg/kg)|SENSE ORGANS AND SPECIAL SENSES: HEMORRHAGE: EYELUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION|Journal of Pharmacology and Experimental Therapeutics.  Vol. 77, Pg. 63, 1943.
1401-55-4|Tannic acid |mouse|LDLo|oral|2gm/kg (2000mg/kg)|SENSE ORGANS AND SPECIAL SENSES: HEMORRHAGE: EYELUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION|Journal of Pharmacology and Experimental Therapeutics.  Vol. 77, Pg. 63, 1943.
1401-55-4|Tannic acid |mouse|LDLo|subcutaneous|75mg/kg (75mg/kg)|LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSIONSENSE ORGANS AND SPECIAL SENSES: HEMORRHAGE: EYE|Journal of Pharmacology and Experimental Therapeutics.  Vol. 77, Pg. 63, 1943.
1401-55-4|Tannic acid |rabbit|LD50|oral|5gm/kg (5000mg/kg)|LUNGS, THORAX, OR RESPIRATION: CHRONIC PULMONARY EDEMAGASTROINTESTINAL: GASTRITIS|American Journal of Veterinary Research.  Vol. 23, Pg. 1264, 1962.
1401-55-4|Tannic acid |rat|LD50|oral|2260mg/kg (2260mg/kg)|GASTROINTESTINAL: OTHER CHANGESLUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD|"Toxicology of Drugs and Chemicals," Deichmann, W.B., New York, Academic Press, Inc., 1969Vol. -, Pg. 571, 1969.
1401-55-4|Tannic acid |rat|LDLo|parenteral|1400mg/kg (1400mg/kg)| |Food and Cosmetics Toxicology.  Vol. 14, Pg. 565, 1976.
1401-55-4|Tannic acid |rat|LDLo|subcutaneous|200mg/kg (200mg/kg)| |Wiener Klinische Wochenschrift.  Vol. 62, Pg. 270, 1950.
141-43-5|Ethanolamine|cat|LC|inhalation|> 2420mg/m3/2H (2420mg/m3)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 23(9), Pg. 55, 1979.
141-43-5|Ethanolamine|guinea pig|LD50|oral|620mg/kg (620mg/kg)| |Environmental Space Science.  English Translation of Kosmicheskaya Biologiya Meditsina. 1967-70.Vol. 2, Pg. 289, 1968.
141-43-5|Ethanolamine|mammal (species unspecified)|LDLo|oral|1400mg/kg (1400mg/kg)| |National Technical Information Service.  Vol. OTS0520710, 
141-43-5|Ethanolamine|mouse|LC|inhalation|> 2420mg/m3/2H (2420mg/m3)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 23(9), Pg. 55, 1979.
141-43-5|Ethanolamine|mouse|LD50|intraperitoneal|50mg/kg (50mg/kg)| |National Technical Information Service.  Vol. AD277-689, 
141-43-5|Ethanolamine|mouse|LD50|oral|700mg/kg (700mg/kg)|BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Toksikologiya Novykh Promyshlennykh Khimicheskikh Veshchestv.  Toxicology of New Industrial Chemical Substances.  For English translation, see TNICS*.  Vol. 4, Pg. 81, 1962.
141-43-5|Ethanolamine|rabbit|LD50|oral|1gm/kg (1000mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 23(9), Pg. 55, 1979.
141-43-5|Ethanolamine|rabbit|LD50|skin|1mL/kg (1mL/kg)| |Union Carbide Data Sheet.  Vol. 1/13/1972, 
141-43-5|Ethanolamine|rat|LD50|intramuscular|1750mg/kg (1750mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 23(9), Pg. 55, 1979.
141-43-5|Ethanolamine|rat|LD50|intraperitoneal|67mg/kg (67mg/kg)| |Environmental Space Science.  English Translation of Kosmicheskaya Biologiya Meditsina. 1967-70.Vol. 2, Pg. 289, 1968.
141-43-5|Ethanolamine|rat|LD50|intravenous|225mg/kg (225mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)|Kosmicheskaya Biologiya i Meditsina.  Space Biology and Medicine.  Vol. (4), Pg. 44, 1968.
141-43-5|Ethanolamine|rat|LD50|oral|1720mg/kg (1720mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 42, Pg. 417, 1977.
141-43-5|Ethanolamine|rat|LD50|subcutaneous|1500mg/kg (1500mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 23(9), Pg. 55, 1979.
144-55-8|Sodium bicarbonate |infant|TDLo|oral|1260mg/kg (1260mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESKIDNEY, URETER, AND BLADDER: URINE VOLUME INCREASED|American Journal of Diseases of Children.  Vol. 135, Pg. 965, 1981.
144-55-8|Sodium bicarbonate |man|TDLo|oral|20mg/kg/5D-I (20mg/kg)| |American Journal of Emergency Medicine.  Vol. 12, Pg. 57, 1994.
144-55-8|Sodium bicarbonate |man|TDLo|oral|20mg/kg/5D-I (20mg/kg)| |American Journal of Emergency Medicine.  Vol. 12, Pg. 57, 1994.
144-55-8|Sodium bicarbonate |man|TDLo|oral|20mg/kg/5D-I (20mg/kg)|GASTROINTESTINAL: NAUSEA OR VOMITING|American Journal of Emergency Medicine.  Vol. 12, Pg. 57, 1994.
144-55-8|Sodium bicarbonate |mouse|LD50|oral|3360mg/kg (3360mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 33(5), Pg. 30, 1989.
144-55-8|Sodium bicarbonate |rat|LC|inhalation|> 900mg/m3 (900mg/m3)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 33(5), Pg. 30, 1989.
144-55-8|Sodium bicarbonate |rat|LD50|oral|4220mg/kg (4220mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 6, Pg. 726, 1964.
